Specialty,Sub-Specialty,Areas of Expertise,Center Name (Where Physician Sees Patients),Location,Address,City,Zip Code,Physician First Name,Physician Last Name,Is the Physician Accepting New Patients (Y/N)?,Languages Spoken by the Physician
Heart & Vascular,Cardiac Electrophysiology,"Atrial Fibrillation, Arrhythmias, Catheter Ablation of Cardiac Arrhythmias",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Rishi,Arora,Y,English
Heart & Vascular,Vascular Surgery,"Abdominal Aortic Aneurysms, Renal Artery Disease, Mesenteric Artery Disease, Carotid Artery Disease, Aortic Disease, Peripheral Arterial Disease",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Ross,Milner,Y,English
Heart & Vascular,Vascular Surgery,"Abdominal Aortic Aneurysms, Renal Artery Disease, Mesenteric Artery Disease, Carotid Artery Disease, Aortic Disease, Peripheral Arterial Disease",UChicago Medicine Orland Park,Orland Park,14290 South La Grange Rd,"Orland Park, IL",60462,Ross,Milner,Y,English
Heart & Vascular,Vascular Surgery,"Abdominal Aortic Aneurysms, Renal Artery Disease, Mesenteric Artery Disease, Carotid Artery Disease, Aortic Disease, Peripheral Arterial Disease",UChicago Medicine at Ingalls - Flossmoor,Ingalls - Flossmoor,19550 Governors Hwy.,"Flossmoor, IL",60422,Ross,Milner,Y,English
Gastroenterology,Gastroenterology (IBD),Inflammatory Bowel Disease; Crohn’s Disease; Ulcerative Colitis,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Russell,Cohen,Y,English
Heart & Vascular,Interventional Cardiology,"Acute Coronary Syndrome, Antiplatelet Therapies, Coronary Artery Disease",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Sandeep,Nathan,Y,"English, Malayalam"
Heart & Vascular,Vascular Surgery,"Arteriovenous Fistula Revision, Dialysis Access Procedures, Venous Insufficiency, Varicose Veins",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Sara,Gaines,Y,English
Heart & Vascular,Vascular Surgery,"Arteriovenous Fistula Revision, Dialysis Access Procedures, Venous Insufficiency, Varicose Veins",UChicago Medicine Crown Point,Crown Point,10855 Virginia St.,"Crown Point, IN",46307,Sara,Gaines,Y,English
Heart & Vascular,Interventional Cardiology,Heart Transplant,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Sara,Kalantari,Y,English
Gastroenterology,Gastroenterology (General),Colon Cancer,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Shilpa,Kailas,Y,English
Gastroenterology,Gastroenterology (General),Colon Cancer,UChicago Medicine Orland Park,Orland Park,14290 S. La Grange Rd.,"Orland Park, IL",60462,Shilpa,Kailas,Y,English
Gastroenterology,Gastroenterology (GI Genetics),Hereditary GI cancer syndromes; Lynch syndrome; Familial adenomatous polyposis,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Sonia,Kupfer,Y,English
Gastroenterology,Gastroenterology (GI Genetics),Hereditary GI cancer syndromes; Lynch; FAP,UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,Sonia,Kupfer,Y,English
Heart & Vascular,Non-Interventional Cardiology,General Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Srinath,Yeshwant,Y,English
Heart & Vascular,Non-Interventional Cardiology,General Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Stanley,Swat,Y,English
Heart & Vascular,Non-Interventional Cardiology,General Cardiology,Uchicago Medicine Hinsdale,Hinsdale,11 Salt Creek Lane Suite 300,"Hinsdale, IL",60521,Stanley,Swat,Y,English
