Specialty,Sub-Specialty,Areas of Expertise,Center Name (Where Physician Sees Patients),Location,Address,City,Zip Code,Physician First Name,Physician Last Name,Is the Physician Accepting New Patients (Y/N)?,Languages Spoken by the Physician
Heart & Vascular,Interventional Cardiology,Coronary & Structural Heart Interventions; PFO; Aortic Valve Stenosis,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Atman,Shah,Y,English
Heart & Vascular,Interventional Cardiology,"Interventional Cardiology, Transcatheter Aortic Valve Replacement (TAVR), Carotid Artery Disease, Ventricular Assist Devices, Transcatheter Mitral Valve Repair (MitraClip), Valve Disease, Coronary Artery Disease, Peripheral Arterial Disease",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Atman,Shah,Y,English
Gastroenterology,Gastroenterology (General),"Colon Cancer Prevention, Liver Diseases, Gastroesophageal Reflux Disease (GERD), Inflammatory Bowel Disease (IBD)",UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,Benjamin,Levy,Y,"English, French"
Gastroenterology,Gastroenterology (General),"Colon Cancer Prevention, Liver Diseases, Gastroesophageal Reflux Disease (GERD), Inflammatory Bowel Disease (IBD)",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Benjamin,Levy,Y,"English, French"
Gastroenterology,Gastroenterology (General),"Colon Cancer Prevention, Liver Diseases, Gastroesophageal Reflux Disease (GERD), Inflammatory Bowel Disease (IBD)",UChicago Medicine Medical Group - Beverly,Beverly,11250 South Western Ave,"Chicago, IL",60643,Benjamin,Levy,Y,"English, French"
Gastroenterology,Gastroenterology (General),"Colon Cancer Prevention, Liver Diseases, Gastroesophageal Reflux Disease (GERD), Inflammatory Bowel Disease (IBD)",UChicago Medicine Orland Park,Orland Park,14290 S. La Grange Rd.,"Orland Park, IL",60462,Benjamin,Levy,Y,"English, French"
Heart & Vascular,Interventional Cardiology,"Ventricular Assist Devices (VADs), Cardiomyopathy, Heart Transplant",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Bow,Chung,Y,"English, Korean"
Heart & Vascular,Interventional Cardiology,"Ventricular Assist Devices (VADs), Cardiomyopathy, Heart Transplant",UChicago Medicine Crown Point,Crown Point,10855 Virginia St.,"Crown Point, IN",46307,Bow,Chung,Y,"English, Korean"
Heart & Vascular,Interventional Cardiology,"Ventricular Assist Devices (VADs), Cardiomyopathy, Heart Transplant",Uchicago Medicine at Prairie Heart Institute,Springfield,619 East Mason St.,"Springfield, IL",62769,Bow,Chung,Y,"English, Korean"
Heart & Vascular,Interventional Cardiology,"Ventricular Assist Devices (VADs), Cardiomyopathy, Heart Transplant",UChicago Medicine Outpatient Center at Ingalls – Harvey,Ingalls - Harvey,71 W. 156th St.,"Harvey, IL",60426,Bow,Chung,Y,"English, Korean"
Gastroenterology,Gastroenterology (General),General Gastroenterology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Bradford,Chong,Y,English
Gastroenterology,Gastroenterology (General),General Gastroenterology,Uchicago Medicine Hinsdale,Hinsdale,11 Salt Creek Lane Suite 300,"Hinsdale, IL",60521,Bradford,Chong,Y,English
Gastroenterology,Hepatology (Liver),"Celiac Disease, Diarrheal Diseases, Nutrition Education",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Carol,Semrad,Y,English
Gastroenterology,Hepatology (Liver),"Celiac Disease, Diarrheal Diseases, Nutrition Education",UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,Carol,Semrad,Y,English
Heart & Vascular,Cardiac Electrophysiology,"Syncope (Fainting), Atrial Fibrillation, Arrhythmias, Ventricular Tachycardia",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Cevher,Ozcan,Y,"English, Turkish"
Heart & Vascular,Vascular Surgery,Vascular Surgery,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Chelsea,Dorsey,Y,English
Heart & Vascular,Vascular Surgery,Vascular Surgery,UChicago Medicine Orland Park,Orland Park,14290 South La Grange Rd,"Orland Park, IL",60462,Chelsea,Dorsey,Y,English
Heart & Vascular,Cardiac Surgery,"Mechanical Circulatory Support, Heart Transplant, Heart Failure, Chief, Section of Cardiac Surgery",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Christopher,Salerno,Y,English
Heart & Vascular,Vascular Surgery,"Mesenteric Ischemia, Carotid Artery Disease, Aortic Surgery, Complex Aortic Pathology",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Christopher,Skelly,Y,English
Heart & Vascular,Vascular Surgery,"Mesenteric Ischemia, Carotid Artery Disease, Aortic Surgery, Complex Aortic Pathology",UChicago Medicine Orland Park,Orland Park,14290 South La Grange Rd,"Orland Park, IL",60462,Christopher,Skelly,Y,English
Heart & Vascular,Vascular Surgery,"Renal Artery Disease, Abdominal Aortic Aneurysms, Mesenteric Artery Disease, Carotid Artery Disease, Aortic Disease",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Clayton,Brinster,Y,"English, Spanish"
Heart & Vascular,Vascular Surgery,"Renal Artery Disease, Abdominal Aortic Aneurysms, Mesenteric Artery Disease, Carotid Artery Disease, Aortic Disease",UChicago Medicine Crown Point,Crown Point,10855 Virginia St.,"Crown Point, IN",46307,Clayton,Brinster,Y,"English, Spanish"
Gastroenterology,Gastroenterology (General),Colon Cancer Prevention,UChicago Medicine at Ingalls - Flossmoor,Ingalls - Flossmoor,19550 Governors Hwy.,"Flossmoor, IL",60422,David,Atlas,Y,English
Heart & Vascular,Cardiac Surgery,"Thoracic Surgery, Cardiac Surgery, Transplant, Coronary Artery Bypass Surgery, Mechanical Circulatory Support",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,David,Onsager,Y,English
Gastroenterology,Gastroenterology (IBD),Inflammatory Bowel Disease; Ulcerative Colitis; Crohn’s Disease; Dysplasia surveillance,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,David,Rubin,Y,English
Gastroenterology,Gastroenterology (IBD),Inflammatory Bowel Disease; Ulcerative Colitis; Crohn’s Disease; Dysplasia surveillance,UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,David,Rubin,Y,English
Gastroenterology,Interventional Endoscopy,"Barrett's Esophagus, Gastrointestinal Cancers, Pancreatic Diseases",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Dennis,Chen,Y,"English, Mandarin Chinese"
Gastroenterology,Hepatology (Liver),"Small Bowel Disorders, Obesity",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Edwin,McDonald,Y,English
Gastroenterology,Hepatology (Liver),"Small Bowel Disorders, Obesity",UChicago Medicine South Loop,South Loop,1101 South Canal St. Suite 201,"Chicago, IL",60607,Edwin,McDonald,Y,English
Heart & Vascular,Non-Interventional Cardiology,"Coronary Artery Disease, Preventive Cardiology, General Cardiology",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Francis,Alenghat,Y,English
Heart & Vascular,Non-Interventional Cardiology,"General/Preventive Cardiology, Coronary Artery Disease",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Francis,Alenghat,Y,English
Heart & Vascular,Non-Interventional Cardiology,"General/Preventive Cardiology, Coronary Artery Disease",UChicago Medicine Orland Park,Orland Park,14290 South La Grange Rd,"Orland Park, IL",60462,Francis,Alenghat,Y,English
Heart & Vascular,Cardiac Electrophysiology,Conduction System Pacing; Cardiac Resynchronization; Catheter Ablation; Heart Failure,UChicago Medicine Orland Park,Orland Park,14290 S. La Grange Rd.,"Orland Park, IL",60462,Gaurav,Upadhyay,Y,English; Hindi
Heart & Vascular,Cardiac Electrophysiology,Conduction System Pacing; Cardiac Resynchronization; Catheter Ablation; Heart Failure,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Gaurav,Upadhyay,Y,English; Hindi
Heart & Vascular,Interventional Cardiology,"Transplant, Hypertrophic Cardiomyopathy",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Gene,Kim,Y,English
Gastroenterology,Interventional Endoscopy,"Endoscopy, ERCP, Therapeutic/Diagnostic Endocopic Ultrasound, Biliary Diseases, Barrett's Esophagus, Gastrointestinal Cancers, Colorectal Cancer, Pancreatic Cancer, Pancreatic Diseases",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Grace,Kim,Y,"English, Korean"
Heart & Vascular,Diagnostic Cardiology,"Women's Heart Disease, Echocardiography, Preventive Cardiology, Cardiac MRI, Cardiac Side Effects of Cancer Therapy, General Cardiology, Cardio-Obstetrics",UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,Hena,Patel,Y,English
Heart & Vascular,Diagnostic Cardiology,"Women's Heart Disease, Echocardiography, Preventive Cardiology, Cardiac MRI, Cardiac Side Effects of Cancer Therapy, General Cardiology, Cardio-Obstetrics",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Hena,Patel,Y,English
Heart & Vascular,Non-Interventional Cardiology,General Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Henry,Huang,Y,English
Heart & Vascular,Cardiac Surgery,"Robotic Heart Surgery, Heart Failure, Arrhythmias, Coronary Artery Bypass Surgery, Minimally Invasive Cardiac Surgery",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Hiroto,Kitahara,Y,"English, Japanese"
Heart & Vascular,Cardiac Surgery,"Robotic Heart Surgery, Atrial Fibrillation Surgery, Total Endoscopic Coronary Artery Bypass (TECAB) Surgery, Minimally Invasive Surgery",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Husam,Balkhy,Y,"English, Arabic"
Heart & Vascular,Cardiac Surgery,"Robotic Heart Surgery, Atrial Fibrillation Surgery, Total Endoscopic Coronary Artery Bypass (TECAB) Surgery, Minimally Invasive Surgery",UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,Husam,Balkhy,Y,"English, Arabic"
Heart & Vascular,Non-Interventional Cardiology,General Cardiology; Women's Heart Health,Comer Children's Hospital,Hyde Park,5721 S. Maryland Ave.,"Chicago, IL",60637,Ibettcolina,Garcia,Y,English
Gastroenterology,Gastroenterology (Motility/General),GERD; Dysphagia; Achalasia; Esophageal motility,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Ibrahim,Hanouneh,Y,English
Heart & Vascular,Interventional Cardiology,Coronary Artery Disease; TAVR; Mitral Clip; Patient Foramen Ovale (PFO),UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Jay,Khambhati,Y,English
Heart & Vascular,Interventional Cardiology,Coronary Artery Disease; TAVR; Mitral Clip; Patient Foramen Ovale (PFO),UChicago Medicine Crown Point,Crown Point,10855 Virginia St.,"Crown Point, IN",46307,Jay,Khambhati,Y,English
Heart & Vascular,Cardio-Oncology,"Cardio-Oncology (Director, Cardio-Oncology Program at U Chicago); Hypertension, Echocardiography, Heart Failure; Coronary artery Disease, Heart Valve Disease; Women's Heart Disease, Cardiac Side Effects of Cancer Therapy, General Cardiology",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Jeanne,DeCara,Y,English
Heart & Vascular,Non-Interventional Cardiology,General Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Jeremy,Ward,Y,English
Gastroenterology,Gastroenterology (Hepatology),Liver Diseases; Cirrhosis; Transplant Hepatology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Jessica,Alberts,N,English
Gastroenterology,Hepatology (Liver),"Colon Cancer, Ulcerative Colitis, Crohn's Disease, Colon Cancer Prevention, Imflammatory Bowel Disease, Fecal Microbiota Transplant",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Joel,Pekow,Y,English
Gastroenterology,Hepatology (Liver),"Colon Cancer, Ulcerative Colitis, Crohn's Disease, Colon Cancer Prevention, Imflammatory Bowel Disease, Fecal Microbiota Transplant",Uchicago Medicine Northbrook,Northbrook,400 Skokie Blvd Suite 300,"Northbrook, IL",60062,Joel,Pekow,Y,English
Heart & Vascular,Interventional Cardiology,"Congestive Heart Failure, Ventricular Assist Devices (VADs), Heart Transplant",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Jonathan,Grinstein,Y,English
Heart & Vascular,Non-Interventional Cardiology,General Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Jonathan,Lattell,Y,English
Heart & Vascular,Interventional Cardiology,Pulmonary Embolism Therapies; DVT; Coronary Artery Disease; Peripheral Arterial Disease,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Jonathan,Paul,Y,English
Heart & Vascular,Interventional Cardiology,Pulmonary Embolism; DVT; Coronary & Peripheral Interventions,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Jonathan,Paul,Y,English
Heart & Vascular,Diagnostic Cardiology,Echocardiography; General Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Karima,Addetia,Y,English
Heart & Vascular,Non-Interventional Cardiology,General/Preventive Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Kathleen,Drinan,Y,English
Heart & Vascular,Non-Interventional Cardiology,Preventive Cardiology; General Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Leo,Gozdecki,Y,English
Heart & Vascular,Vascular Surgery,"Aortic Disease, Cerebrovascular Disease, Peripheral Vascular Disease",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Luka,Pocivavsek,Y,English
Heart & Vascular,Vascular Surgery,"Aortic Disease, Cerebrovascular Disease, Peripheral Vascular Disease",Uchicago Medicine Hinsdale,Hinsdale,11 Salt Creek Lane Suite 300,"Hinsdale, IL",60521,Luka,Pocivavsek,Y,English
Heart & Vascular,Interventional Cardiology,Heart Failure; Heart Transplant,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Manreet,Kanwar,Y,English
Gastroenterology,Hepatology (Liver),"Liver Diseases, Colonoscopy",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Marc,Bisonette,Y,English
Heart & Vascular,Non-Interventional Cardiology,General Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Mark,Belkin,Y,English
Heart & Vascular,Non-Interventional Cardiology,General Cardiology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Martin,Gruca,Y,English
Gastroenterology,Hepatology (Liver),"Cirrhosis, Fatty Liver Disease, Hepatitis, Liver Cancer, Liver Diseases, Liver Transplant",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Matthew,Odenwald,Y,English
Heart & Vascular,Non-Interventional Cardiology,"Coronary Artery Disease, Echocardiography, General Cardiology, Hyperlipidemia, Hypertension, Preventive Cardiology",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Matthew,Sorrentino,Y,English
Heart & Vascular,Non-Interventional Cardiology,"Coronary Artery Disease, Echocardiography, General Cardiology, Hyperlipidemia, Hypertension, Preventive Cardiology",UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,Matthew,Sorrentino,Y,English
Gastroenterology,Hepatology (Liver),"Liver disease; Cirrhosis; Liver transplantation; NAFLD, NASH",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Michael,Charlton,N,English
Heart & Vascular,Non-Interventional Cardiology,Preventive Cardiology; Lipid Disorders; Cardiovascular Risk Reduction,UChicago Medicine River East,River East,355 E Grand Ave.,"Chicago, IL",60611,Michael,Davidson,Y,English
Heart & Vascular,Pedatric Cardiology,"Connective Tissue Diseases, Echocardiography, Aortic Aneurysms, Marfan Syndrome, Congenital Heart Disease in Children, Adult Congenital Heart Disease, Pulmonary Arterial Hypertension, Hypertrophic Cardiomyopathy",Comer Children's Hospital,Hyde Park,5721 S. Maryland Ave.,"Chicago, IL",60637,Michael,Earing,Y,English
Heart & Vascular,Pedatric Cardiology,"Connective Tissue Diseases, Echocardiography, Aortic Aneurysms, Marfan Syndrome, Congenital Heart Disease in Children, Adult Congenital Heart Disease, Pulmonary Arterial Hypertension, Hypertrophic Cardiomyopathy",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Michael,Earing,Y,English
Heart & Vascular,Pedatric Cardiology,"Connective Tissue Diseases, Echocardiography, Aortic Aneurysms, Marfan Syndrome, Congenital Heart Disease in Children, Adult Congenital Heart Disease, Pulmonary Arterial Hypertension, Hypertrophic Cardiomyopathy",UChicago Medicine Orland Park,Orland Park,14290 South La Grange Rd,"Orland Park, IL",60462,Michael,Earing,Y,English
Oncology (Cancer),,Head & Neck Cancer; Lung cancer; Multimodality therapy,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Everett,Vokes,Y,English
Oncology (Cancer),,Genitourinary cancers; Bladder; Prostate; Kidney; Testicular,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Peter,O'Donnell,N,English
Oncology (Cancer),,Breast; Gynecologic cancers; Novel therapeutics,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Gini,Fleming,Y,English
Oncology (Cancer),,Advanced prostate cancer; GU malignancies,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Russell,Szmulewitz,Y,English
Oncology (Cancer),,Lymphoma; CLL; CAR T-cell therapy,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Peter,Riedell,N,English
Oncology (Cancer),,GI oncology; Pancreatic cancer,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Joseph,Franses,N,English
Oncology (Cancer),,General oncology; Hematology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Nan,Chen,N,English
Oncology (Cancer),Hematology/Oncology,"Gynecologic Malignancy, Breast Cancer",UChicago Medicine at Ingalls - Flossmoor,Ingalls - Flossmoor,19550 Governors Hwy.,"Flossmoor, IL",60422,Ivy,Abraham,Y,English
Oncology (Cancer),Hematology/Oncology,"Gynecologic Malignancy, Breast Cancer",UChicago Medicine at Ingalls - Calumet City,Calumet City,1600 Torrence Ave.,"Calumet City, IL",60409,Ivy,Abraham,Y,English
Oncology (Cancer),Hematology/Oncology,General oncology; Hematology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Manik,Amin,Y,English
Oncology (Cancer),Radiation Oncology,Oligometastasis; Radiotherapy; Radio-immunotherapy,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Ralph,Weichselbaum,Y,English
Oncology (Cancer),Radiation Oncology,SRS; IMRT; Brain; Breast; GI cancers,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Steven,Chmura,Y,English
Oncology (Cancer),Radiation Oncology,General radiation oncology; Head & Neck; GU; Breast,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Muzamil,Arshad,N,English
Oncology (Cancer),Radiation Oncology,Brain; Spine; Head & Neck; Breast; Lung; GI; GU; Skin,UChicago Medicine Crown Point,Crown Point,10855 Virginia St.,"Crown Point, IN",46307,Joshua,Lorenz,N,English
Oncology (Cancer),Radiation Oncology,Lung; Esophageal; Head & Neck cancer,UChicago Medicine Orland Park,Orland Park,14290 S. La Grange Rd.,"Orland Park, IL",60462,Daniel,Haraf,Y,English
Oncology (Cancer),Gynecologic Oncology,Ovarian; Cervical; Endometrial; Comprehensive longitudinal care,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,John,Moroney,Y,English
Oncology (Cancer),Gynecologic Oncology,Ovarian; Uterine; Cervical; Vulvar; Vaginal cancers,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Nita,Lee,Y,English
Oncology (Cancer),Gynecologic Oncology,Ovarian; Cervical; Endometrial cancers; Advanced surgical techniques,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Ernst,Lengyel,Y,English
Oncology (Cancer),Gynecologic Oncology,"Gynecologic Cancers, Robotic Gynecologic Surgery, Cervical Cancer, Ovarian Cancer, Uterine Cancer, Vaginal Cancer, Vulvar Cancer, Endometrial Cancer, Gestational Tophoblastic Neoplasia",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Sarah,Ackroyd,Y,English
Oncology (Cancer),Gynecologic Oncology,"Gynecologic Cancers, Robotic Gynecologic Surgery, Cervical Cancer, Ovarian Cancer, Uterine Cancer, Vaginal Cancer, Vulvar Cancer, Endometrial Cancer, Gestational Tophoblastic Neoplasia",UChicago Medicine Crown Point,Crown Point,10855 Virginia St.,"Crown Point, IN",46307,Sarah,Ackroyd,Y,English
Oncology (Cancer),Surgical Oncology,Melanoma; Breast cancer; Sarcoma,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Cristina,O'Donoghue,N,English
Oncology (Cancer),Surgical Oncology,Breast surgery; Multidisciplinary care,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Nora,Jaskowiak,Y,English
Oncology (Cancer),Pediatric Hematology/Oncology,Solid tumors; Pediatric oncology,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Ami,Desai,Y,English
Oncology (Cancer),Pediatric Hematology/Oncology,"Sarcomas, Neuroblastoma, Solid Tumors, Adolescent & Young Adult Cancers",Comer Children's Hospital - Hyde Park,Hyde Park,5721 S. Maryland Ave.,"Chicago, IL",60637,Mark,Applebaum,Y,English
Oncology (Cancer),Pediatric Hematology/Oncology,AYA oncology; Pediatric hematologic malignancies,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,James,LaBelle,Y,English
Orthopedics,Orthopaedic Surgery; Sports Medicine,Knee Injuries; Knee Replacement; Meniscus Repair and Transplantation; Shoulder Injuries; Arthroscopic Surgery; Elbow Surgery; Robotic-assisted Knee Replacement; Patellar Instability,UChicago Medicine Orland Park,Orland Park,14290 S. La Grange Rd.,"Orland Park, IL",60462,Aravind,Athiviraham,Y,English; French; Spanish
Orthopedics,Orthopaedic Surgery; Sports Medicine,Knee Injuries; Knee Replacement; Meniscus Repair and Transplantation; Shoulder Injuries; Arthroscopic Surgery; Elbow Surgery; Robotic-assisted Knee Replacement; Patellar Instability,Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Aravind,Athiviraham,Y,English; French; Spanish
Orthopedics,Orthopaedic Surgery; Orthopaedic Oncology (Bone Cancer); Pediatric Orthopaedic Oncology,Bone & Soft Tissue Cancers; Pediatric Bone & Soft Tissue Sarcomas; Hip Replacement; Knee Reconstruction; Total Knee Arthroplasty,UChicago Medicine Orland Park,Orland Park,14290 S. La Grange Rd.,"Orland Park, IL",60462,Tessa,Balach,N,English
Orthopedics,Orthopaedic Surgery; Orthopaedic Oncology (Bone Cancer); Pediatric Orthopaedic Oncology,Bone & Soft Tissue Cancers; Pediatric Bone & Soft Tissue Sarcomas; Hip Replacement; Knee Reconstruction; Total Knee Arthroplasty,Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Tessa,Balach,Y,English
Orthopedics,Hand Surgery; Orthopaedic Surgery,Hand & Wrist Surgery; Congenital Hand Reconstruction; Pediatric Hand & Wrist Surgery; Peripheral Nerve Injuries,Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Sofia,Bougioukli,Y,English; Greek
Orthopedics,Hand Surgery; Orthopaedic Surgery,Hand & Wrist Surgery; Congenital Hand Reconstruction; Pediatric Hand & Wrist Surgery; Peripheral Nerve Injuries,UChicago Medicine at Ingalls - Calumet City,Calumet City,1600 Torrence Ave.,"Calumet City, IL",60409,Sofia,Bougioukli,Y,English; Greek
